ticker,rev_1m_pct,rev_3m_pct,up30d,down30d,eps_growth_2026,rev_yoy_3m_avg,roe,gross_margin_q,gross_margin_delta,fcf_positive,foreign_5d_amt,foreign_20d_amt,trust_5d_amt,trust_20d_amt,main_force_20d,close,ma20,ma60,dist_60d_high_pct,dd60_pct,dd120_pct,pos_52w,rsi14,entry_low,entry_high,stop_loss,target_price,rr,eps_growth,rev_yoy,gm_trend,fcf,f2_rev_1m,f2_rev_3m,f2_revisions,f2_industry_rel,f3_foreign_5d,f3_foreign_20d,f3_trust_5d,f3_trust_20d,f4_above_ma20,f4_ma20_up,f4_golden,f4_volume,f4_relative,f5_dd60,f5_dd120,f5_lower_half_52w,f5_stop_confirm,total,f3_direction
2330,0.93,9.84,28.0,0.0,0.62479997,47.54979565226646,3,67.72,1.47,True,-5754.608,-23433.43,806.976,9761.203,-13672.2,2375.0,2362.5,2382.5,-5.38,-5.38,-5.38,0.9,49.71,,,,,,10,6,2,4,6.0,6.0,6.0,4.0,0,0,4,2,1,0,0,0,0,1,0,0,1,61,
2454,3.55,3.39,13.0,3.0,0.036199998,6.64757118703676,3,46.2,-0.1,False,-1081.356,3059.118,-4237.711,-5325.654,-2266.5,3765.0,3815.75,4008.0,-17.43,-17.43,-18.86,0.75,46.68,,,,,,2,2,1,0,9.0,3.0,6.0,0.0,0,4,0,0,0,1,0,0,0,1,1,0,0,39,
2383,18.21,31.54,10.0,0.0,1.7845,121.57446156681948,3,33.85,4.43,False,1607.01,140.65,-917.574,490.46,631.1,5430.0,5371.0,5231.83,-14.49,-14.49,-14.49,0.825,49.62,5371.0,5532.13,5069.96,6350.0,2.35,10,6,2,0,12.0,8.0,6.0,4.0,6,4,0,2,1,1,1,0,1,1,1,0,0,83,2.0
2345,,,,,,63.14419690282685,3,19.7,0.15,False,-478.246,-3494.427,-1217.642,-1548.428,-5042.9,2070.0,2180.5,2338.25,-24.73,-24.73,-24.73,0.632,41.86,,,,,,0,6,1,0,,,,,0,0,0,0,0,0,0,0,0,1,1,0,0,16,
2891,-2.61,-0.45,0.0,0.0,0.0631,40.30449880120573,2,,,False,-32885.839,39749.681,-2010.472,8233.484,47983.2,63.599998474121094,64.97,66.83,-12.15,-12.15,-12.15,0.718,43.44,,,,,,4,6,0,0,0.0,0.0,2.0,0.0,0,4,0,2,0,1,0,1,0,1,1,0,0,34,2.0
3037,25.12,37.76,13.0,0.0,3.6364002,37.45907506213413,3,24.8,6.84,True,16212.604,46179.518,-964.706,12045.06,58224.6,1075.0,967.0,940.82,-6.11,-6.11,-6.11,0.931,59.69,967.0,996.01,912.8,1257.89,4.02,10,6,2,4,12.0,8.0,6.0,4.0,6,4,0,2,1,1,1,0,1,1,0,0,0,84,2.0
2317,6.06,6.52,2.0,1.0,0.38740003,48.62436017324646,2,6.12,-0.06,False,-33239.706,24053.371,-3241.973,-2742.901,21310.5,243.5,252.22,255.35,-21.2,-21.2,-21.2,0.461,43.37,,,,,,10,6,1,0,12.0,6.0,4.0,4.0,0,4,0,0,0,0,0,0,0,1,1,1,0,57,
3711,8.78,9.49,13.0,0.0,1.0918,34.86083522559668,3,21.0,0.93,False,6736.878,-9554.603,-11394.329,-14211.239,-23765.8,592.0,588.7,616.02,-18.57,-18.57,-18.57,0.767,47.02,,,,,,10,6,2,0,12.0,6.0,6.0,4.0,6,0,0,0,1,0,0,0,0,1,1,0,1,66,
2303,50.57,54.45,15.0,1.0,1.1115,19.872355706950398,3,32.48,3.29,True,44433.779,-53495.493,-39671.204,-93334.804,-146830.3,123.5,118.45,138.12,-30.81,-30.81,-30.81,0.601,48.54,,,,,,10,4,2,4,12.0,8.0,6.0,4.0,6,0,0,0,1,0,0,0,0,1,1,0,1,70,
2357,40.88,44.55,1.0,0.0,0.3039,39.419351041891424,3,17.17,2.3,False,84.156,20052.791,356.594,1165.273,21218.1,923.0,854.65,790.25,-7.33,-7.33,-7.33,0.854,63.28,854.65,880.29,806.75,1020.33,2.52,10,6,2,0,12.0,8.0,4.0,0.0,6,4,4,2,1,1,1,0,1,1,0,0,1,80,2.0
2382,12.79,13.54,2.0,0.0,0.4085,109.52400426986874,3,5.02,0.24,True,2850.398,-28066.289,1237.61,4742.82,-23323.5,320.0,313.65,348.46,-23.26,-23.26,-23.26,0.407,46.74,,,,,,10,6,1,4,12.0,8.0,4.0,4.0,6,0,4,2,1,0,0,0,1,1,1,1,0,78,
2308,-0.17,-2.34,8.0,9.0,0.7633,48.942264988436506,3,35.64,-1.36,True,-3743.88,-21260.881,-1000.973,1504.11,-19756.8,1735.0,1715.25,1930.25,-29.33,-29.33,-31.15,0.574,45.72,,,,,,10,6,0,4,0.0,0.0,0.0,4.0,0,0,0,2,1,0,0,0,0,1,1,0,0,38,
2881,1.39,8.49,4.0,0.0,0.2709,-131.67765566235923,3,,,False,27300.081,34444.07,-1455.273,15465.605,49909.7,132.0,128.1,126.43,-4.69,-4.69,-4.69,0.885,57.24,128.1,131.94,120.92,121.58,-0.93,7,0,0,0,6.0,6.0,4.0,0.0,6,4,0,2,1,1,1,1,1,0,0,0,1,57,2.0
6669,4.61,6.49,5.0,2.0,0.3157,29.058800136509863,3,9.26,1.71,False,-20.466,-780.629,-661.98,825.428,44.8,6205.0,6052.25,5395.42,-6.27,-6.27,-6.27,0.89,57.12,6052.25,6233.82,5713.02,8202.0,4.79,10,6,2,0,9.0,6.0,6.0,4.0,0,0,0,2,1,1,1,0,1,1,0,0,0,63,
6223,3.39,5.02,3.0,0.0,0.9589,63.126029735061195,3,58.37,-1.07,False,-287.004,-917.854,-493.731,-231.754,-1149.6,5410.0,5785.5,6111.17,-26.69,-26.69,-26.69,0.678,43.12,,,,,,10,6,0,0,9.0,6.0,4.0,4.0,0,0,0,0,0,0,0,0,0,1,1,0,1,50,
3017,4.22,5.57,3.0,0.0,1.0488,61.38066971261747,3,32.57,2.8,True,790.283,7355.371,136.275,5202.842,12558.2,2775.0,2788.0,2545.42,-14.22,-14.22,-14.22,0.8,50.87,,,,,,10,6,2,4,9.0,6.0,4.0,4.0,6,4,4,2,0,1,1,0,1,1,1,0,0,81,2.0
2327,3.5,12.88,6.0,2.0,0.6894,45.96321837084607,3,38.5,0.4,True,-11139.663,-66560.395,-4666.259,-8263.216,-74823.6,521.0,564.77,770.21,-54.3,-54.3,-54.3,0.384,36.88,,,,,,10,6,1,4,9.0,8.0,6.0,4.0,0,0,0,0,0,0,0,0,0,1,1,1,0,59,
2059,78.59,112.33,7.0,0.0,2.4982002,249.36603455798635,3,87.42,9.68,True,-167.863,-541.609,529.158,1064.648,523.0,14505.0,11519.25,8727.33,0.0,0.0,0.0,1.0,76.17,11519.25,11864.83,10873.6,14129.5,2.98,10,6,2,4,12.0,8.0,6.0,4.0,0,0,4,2,1,1,1,0,1,0,0,0,1,75,
2379,-2.89,,4.0,5.0,0.095,25.001450900345418,3,47.0,-2.65,True,-916.597,-3677.35,635.318,2295.469,-1381.9,716.0,729.55,735.5,-20.44,-20.44,-20.44,0.596,46.39,,,,,,4,6,0,4,0.0,0.0,0.0,0.0,0,0,4,2,0,0,0,0,0,1,1,0,1,31,
2887,5.03,24.45,1.0,1.0,0.45830002,131.83815167924797,2,,,True,-69332.812,-15083.386,51513.535,130677.254,115593.9,36.849998474121094,35.8,33.61,-2.38,-2.38,-2.38,0.959,57.57,35.8,36.87,33.79,28.2,-3.2,10,6,0,4,12.0,8.0,2.0,4.0,0,0,4,2,1,1,1,0,1,0,0,0,1,68,
2603,43.24,59.77,1.0,0.0,0.2237,34.825770146602615,2,22.8,7.33,True,56581.902,117261.91,873.382,4704.42,121966.3,250.0,221.28,209.32,-0.6,-0.6,-0.6,0.98,80.54,221.28,227.92,208.88,251.5,1.71,7,6,2,4,12.0,8.0,4.0,0.0,6,4,4,2,1,1,1,1,1,0,0,0,1,80,2.0
2886,1.03,8.84,6.0,0.0,0.131,7.8346629714836,2,,,False,73100.184,42743.366,9613.997,81064.898,123808.3,46.70000076293945,48.95,46.76,-12.05,-12.05,-12.05,0.566,43.48,,,,,,4,2,0,0,6.0,6.0,6.0,0.0,6,4,4,2,0,0,1,0,0,1,1,0,1,55,2.0
3665,1.6,1.23,1.0,1.0,0.4661,54.909808247760445,3,28.77,-3.16,False,-2504.935,-4492.625,-554.107,-221.226,-4713.9,2035.0,2177.75,2084.75,-14.14,-14.14,-30.78,0.55,44.33,,,,,,10,6,0,0,6.0,3.0,2.0,4.0,0,0,0,0,0,0,1,0,0,1,1,0,0,43,
2408,6.91,51.01,6.0,0.0,29.5373,690.3631109496349,3,79.49,11.6,True,9422.761,128186.743,2994.247,8316.552,136503.3,485.5,464.32,432.75,-8.05,-8.05,-8.05,0.912,53.24,464.32,478.25,438.3,528.0,1.72,10,6,2,4,12.0,8.0,6.0,4.0,6,4,4,2,1,1,1,0,1,1,1,0,1,93,2.0
