訊號,ticker,name,sector,total,f1,f2,f3,f4,f5,count,eps_2026,eps_2027,growth_2026,growth_2027,rev_yoy_3m,rev_1m,rev_3m,analysts,note,target_mean,foreign_20d,trust_20d,main_force_20d,close,ma20,ma60,dist_60d_high,rsi14,entry_low,entry_high,stop_loss,target_price,rr,target_note,entry_note,rejected_rules,grade
🟠股價過高,2408,南亞科,IC製造,93,25,30,18,12,8,2,65.04435,95.72625,29.5373,0.47169998,690.3631109496349,6.91,51.01,8,,559.8333,128186.743,8316.552,136503.3,485.5,464.32,432.75,-8.05,53.24,464.32,478.25,438.3,528.0,1.72,,,,B
🟢研究進場,3037,欣興,印刷電路板相關,84,25,30,14,12,3,6,20.12185,37.60692,3.6364002,0.869,37.45907506213413,25.12,37.76,17,,1257.8948,46179.518,12045.06,58224.6,1075.0,967.0,940.82,-6.11,59.69,967.0,996.01,912.8,1257.89,4.02,近目標空間不足（6.5%），改用較遠者,,,S
🟢研究進場,2383,台光電,印刷電路板相關,83,21,30,14,12,6,9,116.03146,225.55748,1.7845,0.9439,121.57446156681948,18.21,31.54,16,,7517.8125,140.65,490.46,631.1,5430.0,5371.0,5231.83,-14.49,49.62,5371.0,5532.13,5069.96,6350.0,2.35,,,,S
🟠股價過高,3017,奇鋐,電子零件元件,81,25,23,18,9,6,3,98.835,151.0043,1.0488,0.52779996,61.38066971261747,4.22,5.57,8,,3833.1765,7355.371,5202.842,12558.2,2775.0,2788.0,2545.42,-14.22,50.87,,,,,,,架構轉弱，不進場,,B
🟠股價過高,2382,廣達,電腦系統業,78,24,28,12,6,8,5,26.63546,31.93112,0.4085,0.1988,109.52400426986874,12.79,13.54,18,,422.45,-28066.289,4742.82,-23323.5,320.0,313.65,348.46,-23.26,46.74,,,,,,,架構轉弱，不進場,,B
🟠股價過高,2344,華邦電,IC製造,77,25,28,10,6,8,1,25.4075,52.27664,27.8722,1.0575,221.13076149392126,14.57,36.16,4,,247.57143,90395.019,-58246.707,32148.3,170.0,165.38,174.17,-23.42,50.07,,,,,,,架構轉弱，不進場,,B
🟠股價過高,3231,緯創,電腦系統業,74,20,30,12,6,6,2,17.10425,23.46078,1.0362,0.3716,51.28261164518404,25.33,22.82,5,,266.52942,94808.897,11834.17,106643.1,172.5,183.7,167.48,-12.44,45.72,,,,,,,架構轉弱，不進場,,B
🟠股價過高,3034,聯詠,IC設計,71,20,26,14,9,2,2,33.70448,35.32413,0.2544,0.0481,18.369552863871792,15.45,16.38,17,,529.1667,12779.521,-41.985,12737.5,542.0,525.08,513.7,-4.41,57.75,525.08,540.83,495.65,567.0,0.91,近目標空間不足（-2.4%），改用較遠者,,,B
🟠股價過高,3045,台灣大,網通設備,70,18,20,18,12,2,1,5.4335,5.6336,0.15609999,0.0368,5.872348498133769,8.94,7.7,3,,123.5,58009.909,1026.581,59036.5,115.0,111.8,114.19,-4.56,61.88,,,,,,,待 20MA 站上 60MA 後再評,,B
🟠股價過高,2887,台新新光金,金融業,68,22,26,6,12,2,3,2.75775,2.76666,0.45830002,0.0032,131.83815167924797,5.03,24.45,5,,28.19879,-15083.386,130677.254,115593.9,36.849998474121094,35.8,33.61,-2.38,57.57,35.8,36.87,33.79,28.2,-3.2,近目標空間不足（2.4%），改用較遠者,,,B
🟡等待買點,2059,川湖,電子零件元件,65,25,30,6,12,2,3,352.26392,497.7669,2.4982002,0.4131,249.36603455798635,78.59,112.33,12,,14129.5,-541.609,1064.648,523.0,14505.0,11519.25,8727.33,0.0,76.17,11519.25,11864.83,10873.6,14129.5,2.98,近目標空間不足（0.0%），改用較遠者,,H5降分,A
🟡等待買點,6669,緯穎,電腦系統業,63,21,25,2,12,3,4,361.89386,532.59424,0.3157,0.47169998,29.058800136509863,4.61,6.49,18,,8202.0,-780.629,825.428,44.8,6205.0,6052.25,5395.42,-6.27,57.12,6052.25,6233.82,5713.02,8202.0,4.79,近目標空間不足（6.7%），改用較遠者,,,A
🟠股價過高,2330,台積電,IC製造,61,25,22,6,3,5,10,107.6434,142.12909,0.62479997,0.3204,47.54979565226646,0.93,9.84,34,,3229.3333,-23433.43,9761.203,-13672.2,2375.0,2362.5,2382.5,-5.38,49.71,,,,,,,架構轉弱，不進場,,B
⚪條件不符,2618,長榮航,運輸事業,59,13,22,10,9,5,1,4.41333,4.8412,-0.0806,0.09689999,23.369452156169974,6.38,13.75,3,,44.98571,218375.49,-7016.285,211359.2,42.400001525878906,42.41,41.53,-5.57,51.99,,,,,,,架構轉弱，不進場,,C
⚪條件不符,2317,鴻海,機器人,57,19,26,4,0,8,5,18.59104,23.12685,0.38740003,0.244,48.62436017324646,6.06,6.52,17,,347.45,24053.371,-2742.901,21310.5,243.5,252.22,255.35,-21.2,43.37,,,,,,,架構轉弱，不進場,,C
⚪條件不符,2886,兆豐金,金融業,55,8,18,18,3,8,3,2.66918,2.7284,0.131,0.0222,7.8346629714836,1.03,8.84,8,,42.31111,42743.366,81064.898,123808.3,46.70000076293945,48.95,46.76,-12.05,43.48,,,,,,,架構轉弱，不進場,,C
⚪條件不符,2882,國泰金,金融業,53,7,18,14,6,8,2,8.34951,8.62996,0.18270001,0.0336,-660.0370088753385,0.79,15.97,8,,103.88889,2111.237,23302.812,25414.0,98.9000015258789,98.86,99.34,-14.37,50.65,,,,,,,架構轉弱，不進場,,C
⚪條件不符,2884,玉山金,金融業,52,13,19,6,12,2,1,2.54278,2.69431,0.19940001,0.0596,18.26885597489257,4.75,5.01,4,,38.2,-87316.647,94879.314,7562.7,38.79999923706055,37.79,35.72,0.0,64.95,37.79,38.92,35.67,38.2,-0.06,近目標空間不足（0.0%），改用較遠者,,,C
⚪條件不符,3008,大立光,光學元件,52,16,15,6,15,0,1,186.08096,204.40788,0.18360001,0.098500006,7.153235949255067,0.0,0.87,18,,4864.4443,-3311.35,2021.363,-1290.0,5340.0,4693.5,4396.08,-4.81,64.84,4693.5,4834.31,4430.43,4864.44,0.3,近目標空間不足（5.1%），改用較遠者,,,C
⚪條件不符,3260,威剛,電子零件元件,43,9,0,14,12,8,1,,,,,251.2615303353563,,,0,無覆蓋（分析師覆蓋不足）,,27933.648,93.195,28026.8,438.5,402.2,405.82,-6.6,62.81,,,,,,,待 20MA 站上 60MA 後再評,H1未檢(無覆蓋)H1未檢(無覆蓋);H2未檢(無覆蓋),C
⚪條件不符,2454,聯發科,IC設計,39,8,18,4,3,6,9,68.55543,141.56815,0.036199998,1.0565,6.64757118703676,3.55,3.39,21,,5553.231,3059.118,-5325.654,-2266.5,3765.0,3815.75,4008.0,-17.43,46.68,,,,,,,架構轉弱，不進場,,C
⚪條件不符,2412,中華電,網通設備,38,11,8,12,0,7,2,5.19667,5.39622,0.0435,0.038399998,6.825613829992176,0.31,-0.33,3,,136.5,19424.791,6602.66,26027.5,136.5,137.32,139.52,-6.83,45.39,,,,,,,架構轉弱，不進場,,C
⚪條件不符,2308,台達電,機器人,38,23,4,2,3,6,4,40.69735,64.17107,0.7633,0.5768,48.942264988436506,-0.17,-2.34,22,,2474.182,-21260.881,1504.11,-19756.8,1735.0,1715.25,1930.25,-29.33,45.72,,,,,,,架構轉弱，不進場,,C
⚪條件不符,6409,旭隼,電子零件元件,38,11,0,12,9,6,1,30.82153,43.0614,-0.23040001,0.3971,10.601821215317216,-11.86,-1.75,5,,1134.7142,85.744,178.912,264.7,1010.0,985.8,988.17,-21.71,50.96,,,,,,,待 20MA 站上 60MA 後再評,,C
