代碼: 700001, 名稱: 欣銓元大53購04, 市場: 上櫃
代碼: 700002, 名稱: 長佳智元大53購02, 市場: 上櫃
代碼: 700003, 名稱: 威剛元大53購10, 市場: 上櫃
代碼: 700004, 名稱: 原相元大53購08, 市場: 上櫃
代碼: 700005, 名稱: 能率元大53購04, 市場: 上櫃
代碼: 700006, 名稱: 鈊象元大53購08, 市場: 上櫃
代碼: 700007, 名稱: 鈊象元大53購09, 市場: 上櫃
代碼: 700008, 名稱: 新應材元大56購02, 市場: 上櫃
代碼: 700009, 名稱: 萬潤元大53購03, 市場: 上櫃
代碼: 700010, 名稱: 萬潤元大56購01, 市場: 上櫃
代碼: 700011, 名稱: 聖暉*元大53購05, 市場: 上櫃
代碼: 700012, 名稱: 廣明元大53購10, 市場: 上櫃
代碼: 700013, 名稱: 雙鴻元大53購09, 市場: 上櫃
代碼: 700014, 名稱: 雙鴻元大53購10, 市場: 上櫃
代碼: 700015, 名稱: 原相富邦54購01, 市場: 上櫃
代碼: 700016, 名稱: 博智富邦56購01, 市場: 上櫃
代碼: 700017, 名稱: 聖暉*富邦54購01, 市場: 上櫃
代碼: 700018, 名稱: 雙鴻富邦56購02, 市場: 上櫃
代碼: 700019, 名稱: 宏捷科統一5C購01, 市場: 上櫃
代碼: 700020, 名稱: 佳邦統一5C購01, 市場: 上櫃
代碼: 700021, 名稱: 長佳智統一5C購02, 市場: 上櫃
代碼: 700022, 名稱: 華星光統一5C購01, 市場: 上櫃
代碼: 700023, 名稱: 新應材統一5B購02, 市場: 上櫃
代碼: 700024, 名稱: 新應材統一64購02, 市場: 上櫃
代碼: 700025, 名稱: 雙鴻統一5B購01, 市場: 上櫃
代碼: 700026, 名稱: 新應材中信53購01, 市場: 上櫃
代碼: 700027, 名稱: 新應材中信57購01, 市場: 上櫃
代碼: 700028, 名稱: 雙鴻中信59購01, 市場: 上櫃
代碼: 700029, 名稱: 均豪元富54購02, 市場: 上櫃
代碼: 700030, 名稱: 均豪元富54購03, 市場: 上櫃
代碼: 700031, 名稱: 金山電元富53購01, 市場: 上櫃
代碼: 700032, 名稱: 金山電元富54購01, 市場: 上櫃
代碼: 700033, 名稱: 能率元富54購02, 市場: 上櫃
代碼: 700034, 名稱: 閎康元富54購01, 市場: 上櫃
代碼: 700035, 名稱: 閎康元富54購02, 市場: 上櫃
代碼: 700036, 名稱: 鈊象元富53購06, 市場: 上櫃
代碼: 700037, 名稱: 新應材元富53購03, 市場: 上櫃
代碼: 700038, 名稱: 新應材元富53購04, 市場: 上櫃
代碼: 700039, 名稱: 雍智元富53購02, 市場: 上櫃
代碼: 700040, 名稱: 廣明元富53購02, 市場: 上櫃
代碼: 700041, 名稱: 新應材永豐53購05, 市場: 上櫃
代碼: 700042, 名稱: 新應材永豐56購02, 市場: 上櫃
